Naziv kompanije,PIB,Matični broj,CRPS Status,Promet 2024,Profit,Broj zaposlenih,Grad,Adresa,Datum osnivanja,Ukupna aktiva
DR SIMO MILOŠEVIĆ,02008386,40000823,Aktivan,11155153,320180,482,,,2002-08-07,118743009
HELADA MONT,02239027,50067681,Aktivan,10675046,940149,103,,,2002-08-12,6260214
XEXPERIENCE DOO,03410021,51009918,Aktivan,10718173,1856480,10,,,2022-02-22,31022565
VIB-BAS,02325721,50093364,Aktivan,10297969,57068,35,,,2002-08-14,2229250
KARISMA HOTELS ADRIATIC MONTENEGRO,03134687,50793821,Aktivan,10618794,218760,145,,,2017-05-09,25549873
ČIKOM,02177579,50084184,Aktivan,10074731,520225,69,,,2003-08-12,2952805
BAR TRADE,02651696,50364071,Aktivan,10037576,517664,26,,,2007-03-21,4693572
PUTEVI D.O.O. - PODGORICA,02653893,50367252,Aktivan,15279082,233320,278,,,2007-04-02,9274795
ČELEBIĆ PETROL TRADE,03077268,50752171,Aktivan,9916855,140659,23,,,2016-02-02,3406353
MIL-POP,02260620,50038244,Aktivan,10345259,340593,135,,,2002-08-02,10731255
OSMI RED - D,02296705,50024210,Aktivan,9905467,967599,38,,,2002-07-31,8663359
NIVEL STOVARIŠTE ĐUROVIĆ,03103099,50769109,Aktivan,10382380,496694,27,,,2016-08-02,7281684
B2B,03168212,50816504,Aktivan,9950563,1475090,167,,,2017-12-25,20116445
KAVARIĆ GROUP,02228777,50070131,Aktivan,10021567,1425758,68,,,2002-08-09,22395777
MONTENEGRO TOURIST SERVICE,02685825,50421691,Aktivan,9975013,8738,31,,,2007-10-30,2793770
MONTENEGRO DUTY FREE,03277429,50900382,Aktivan,9767405,770054,46,,,2019-08-23,3448529
ALUMIL MONTENEGRO,02411865,50221614,Aktivan,9912488,655917,21,,,2004-08-09,4736589
DOMEN,02686473,50419334,Aktivan,9703463,3381824,7,,,2007-10-18,13545680
PETITE GENEVE PETROVIĆ MONTENEGRO,03176720,50823658,Aktivan,9576741,1410511,1,,,2018-02-23,5163480
MOKAMARD,02247518,50016352,Aktivan,9550808,430674,15,,,2002-07-26,4925009
AS JEWELRY,03169855,50817883,Aktivan,9173800,27745,37,,,2018-01-12,7073690
SINCOMMERCE,02202778,50021704,Aktivan,9359967,762683,68,,,2002-07-30,13665200
FEMIĆ TRADE,02872528,50625789,Aktivan,9284218,568965,49,,,2012-03-16,3206264
AUTOPREVOZ BAJOVIĆ,02443635,50269025,Aktivan,9380451,982788,27,,,2005-11-01,7816132
COGIMAR,02054205,50056130,Aktivan,9492383,460998,48,,,2002-08-08,4976441
TOFI,02066769,50059421,Aktivan,9518870,2375685,35,,,2002-08-08,10136595
ČIBRI,02723417,50482073,Aktivan,9068115,3419871,194,,,2008-07-03,6917933
TRE GROUP INVEST,03280152,50902715,Aktivan,8986323,930904,1,,,2019-09-17,4259743
SAMMS,02196727,50011532,Aktivan,9697265,1601621,78,,,2002-07-23,12864229
DESETKA BERANE,02636425,50337851,Aktivan,9006255,1029801,82,,,2006-12-07,14118210
INTERSPORT CRNA GORA,03104214,50769955,Aktivan,8883782,439251,85,,,2016-08-15,4691216
LUKANA,02359553,50065621,Aktivan,9387607,1123972,85,,,2002-08-29,14484686
TERMOSISTEM,02376733,50169751,Aktivan,8876791,71441,99,,,2003-04-21,14081184
E.C.AUTO TRADE,02642204,50348321,Aktivan,8854306,482828,8,,,2007-01-26,5822995
SIGILLUM CO DOO,02258749,50018025,Aktivan,9217777,2396305,21,,,2002-07-26,19805384
DAUTI - KOMERC,02325446,50071544,Aktivan,8739076,299768,39,,,2002-08-09,3770944
AD PORT OF ADRIA,02766698,40009050,Aktivan,8819352,-2866580,280,,,2009-09-24,66389794
ASFALT-BETON GRADNJA,02929864,50659720,Aktivan,8694260,516671,20,,,2013-05-07,2241719
SEF-TRANS,02462184,50294744,Aktivan,8677787,333944,32,,,2006-05-08,3108839
KATUNJANIN,02228874,50095443,Aktivan,9040448,711997,49,,,2002-08-13,8479759
MONTENEGRO BONUS DOO,02384337,50181912,Aktivan,8870219,109420,30,,,2003-07-10,16034285
ČANTRIĆ,02636590,50337870,Aktivan,8663385,364725,16,,,2006-12-07,3752579
MIKRO - MONT,02425262,50241230,Aktivan,8634959,877966,54,,,2005-03-10,5589931
METRON,03054730,50734816,Aktivan,8720472,329124,34,,,2015-06-26,9384108
ELKO TIM,02128632,50021044,Aktivan,8717504,501478,60,,,2002-07-29,4081227
LB TOWN MANAGEMENT DOO,03327299,50941296,Aktivan,9026691,20144,129,,,2020-10-01,15062689
DS PROMET,03214494,50850102,Aktivan,8599304,569823,9,,,2018-09-04,2410761
CRNOGORSKA PLOVIDBA,02399849,40007392,Aktivan,8699381,-778678,9,,,2004-02-26,35497046
SHANDONG FOREIGN ECONOMIC & TECHNICAL COOPERATION CO. LTD. NR KINA,03479951,60015045,Aktivan,8551181,494294,22,,,2022-10-11,17158896
"ERICSSON AB ŠTOKHOLM DIO STRANOG DRUŠTVA CRNA GORA, PODGORICA",03014649,60012467,Aktivan,8502941,230451,121,,,2014-10-22,7023698
BEN -KOV - DRUŠTVO ZA TRGOVINU I USLUGE D.O.O. - TIVAT,02363747,50138110,Aktivan,8525647,604681,15,,,2002-10-18,8932709
MONTE - MITROS,02217643,50046413,Aktivan,8679559,161764,25,,,2002-08-06,4918286
PERFECT TRADE,03027376,50716881,Aktivan,8606973,51493,36,,,2015-01-23,4065676
LB HOTELS MANAGEMENT,03201309,50840237,Aktivan,8474082,-1005670,127,,,2018-06-19,1607329
FALCON COMMERCE,03012581,50707610,Aktivan,8637296,171847,61,,,2014-10-03,9105034
ĆATIĆ CO,02339137,50034473,Aktivan,8492637,435907,29,,,2002-08-02,4349783
INDEL INŽENJERING,02624214,50317670,Aktivan,8349989,175034,29,,,2006-09-06,2197989
MDI PODGORICA,02236575,50088820,Aktivan,9469218,1109471,18,,,2002-08-12,6516466
ČISTOĆA,02407493,50669251,Aktivan,8689492,-3502064,644,,,2013-08-20,19964217
GRAĐACOMERC,02096528,50045584,Aktivan,8265461,1229749,46,,,2002-08-06,9857086
STANIŠIĆ,02311127,50124713,Aktivan,8343118,850320,14,,,2002-08-14,4821086
JADRAN AUTO,03069052,50745688,Aktivan,8312616,134513,15,,,2015-11-10,4844602
KOMUNALNE DJELATNOSTI,02002752,50786678,Aktivan,8626715,428498,327,,,2002-08-08,7098722
AP - PETROL,02667096,50389550,Aktivan,8139510,34179,30,,,2007-06-26,2597523
BATARA,02095521,50039274,Aktivan,8145835,330782,13,,,2002-08-05,5014704
DELTA TRANSPORTNI SISTEM - D.T.S,03081052,50755060,Aktivan,8108537,133066,57,,,2016-02-29,2140045
ZETATRANS,02011468,40003234,Aktivan,8292018,1287176,110,,,2002-08-13,20975624
